Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Unemployed,Diploma,288368,488,13568,Married,Medical,Yes
Unemployed,Masters,400985,715,192047,Married,House,No
Business Owner,Degree,475704,746,94835,Divorced,Car,Yes
Unemployed,Degree,42955,460,191676,Divorced,Medical,No
Self-Employed,Masters,138076,841,136446,Single,Medical,No
Employed,Masters,232947,580,18512,Divorced,Car,Yes
Business Owner,Diploma,46753,333,182386,Divorced,Business,No
Employed,Secondary,215042,417,20507,Divorced,Car,No
Business Owner,Masters,347838,665,162902,Divorced,Medical,No
Employed,Secondary,60205,726,143866,Divorced,Medical,Yes
Self-Employed,Secondary,179524,688,35534,Married,Business,Yes
Self-Employed,Masters,209980,357,101729,Single,House,No
Employed,Secondary,401803,588,71863,Single,School,Yes
Self-Employed,Diploma,405217,326,171008,Single,Medical,No
Employed,Degree,206341,402,59520,Single,Medical,Yes
Self-Employed,Masters,187275,396,89784,Divorced,House,No
Unemployed,Degree,499650,550,124489,Single,School,Yes
Employed,Masters,467584,661,151709,Married,Car,Yes
Employed,Secondary,259753,504,146230,Single,Car,Yes
Employed,Diploma,409396,781,35933,Single,Medical,Yes
Self-Employed,Masters,471582,347,191160,Divorced,House,No
Unemployed,Degree,467978,344,141476,Single,School,Yes
Business Owner,Masters,375542,468,13952,Divorced,Business,No
Self-Employed,Secondary,196585,511,124203,Single,House,No
Employed,Degree,444309,604,46429,Single,Medical,Yes
Self-Employed,Diploma,228108,537,84205,Single,Business,Yes
Employed,Degree,155657,437,63565,Divorced,Business,Yes
Employed,Masters,495311,556,125283,Divorced,Business,Yes
Business Owner,Degree,181526,588,100147,Divorced,Medical,Yes
Business Owner,Secondary,249249,677,194124,Married,Car,No
Self-Employed,Diploma,99347,713,122710,Single,Medical,No
Unemployed,Masters,44881,507,158441,Single,House,No
Unemployed,Degree,472335,428,4878,Single,School,Yes
Unemployed,Diploma,162817,533,129586,Married,Medical,No
Business Owner,Secondary,364879,408,91456,Married,House,Yes
Employed,Secondary,487857,317,152801,Divorced,House,No
Employed,Secondary,309097,655,74011,Divorced,Medical,Yes
Unemployed,Degree,466961,800,99757,Married,School,Yes
Employed,Masters,108353,567,45879,Single,School,Yes
Employed,Masters,73473,690,112664,Married,School,Yes
Business Owner,Masters,147290,790,64705,Divorced,Medical,Yes
Unemployed,Secondary,232206,757,142626,Single,School,No
Unemployed,Secondary,397132,416,182666,Single,Car,No
Business Owner,Diploma,81727,524,30567,Married,Medical,Yes
Unemployed,Secondary,227379,650,661,Married,Medical,Yes
Self-Employed,Diploma,463502,673,141804,Married,School,No
Unemployed,Masters,388468,724,55921,Single,Business,Yes
Self-Employed,Degree,140525,525,154369,Married,Medical,Yes
Business Owner,Diploma,349574,774,45665,Married,Business,Yes
Business Owner,Secondary,117463,735,119106,Single,Car,Yes
Business Owner,Diploma,326154,680,194847,Married,Car,No
Unemployed,Diploma,294628,514,156885,Single,Business,No
Business Owner,Masters,113876,631,81448,Married,Car,Yes
Unemployed,Masters,91878,495,46221,Divorced,Car,Yes
Employed,Diploma,439658,491,53874,Married,Business,Yes
Self-Employed,Diploma,368230,802,183642,Divorced,School,No
Self-Employed,Secondary,489927,354,114586,Divorced,Car,No
Unemployed,Secondary,312096,315,64365,Married,Medical,Yes
Unemployed,Masters,189563,661,19010,Married,Medical,Yes
Employed,Degree,346395,339,1378,Married,Medical,Yes
Unemployed,Secondary,463007,347,77644,Married,School,Yes
Business Owner,Secondary,451243,642,169762,Married,Business,No
Self-Employed,Degree,84723,353,30043,Married,Business,Yes
Self-Employed,Secondary,216177,723,9699,Married,School,Yes
Self-Employed,Masters,237916,532,88425,Divorced,School,Yes
Employed,Degree,45186,595,81424,Married,School,Yes
Self-Employed,Degree,54209,525,175451,Divorced,Medical,No
Business Owner,Secondary,129578,763,121862,Single,Medical,No
Employed,Degree,148947,527,109841,Single,Car,Yes
Employed,Diploma,441239,841,161698,Divorced,Business,Yes
Self-Employed,Masters,312920,375,95530,Single,Medical,No
Business Owner,Masters,445033,598,186608,Divorced,House,No
Self-Employed,Secondary,191911,762,194296,Divorced,School,No
Unemployed,Masters,173705,631,136593,Married,School,No
Employed,Secondary,56784,487,31576,Single,Medical,Yes
Unemployed,Degree,349682,571,95834,Divorced,School,Yes
Unemployed,Diploma,158396,319,132356,Divorced,House,No
Business Owner,Secondary,302710,423,197931,Single,Medical,No
Business Owner,Masters,99761,800,78214,Single,Business,Yes
Unemployed,Diploma,269917,626,183368,Married,Business,No
Unemployed,Degree,45858,358,78141,Single,Medical,No
Business Owner,Masters,230737,417,165811,Single,House,No
Business Owner,Diploma,118783,491,136458,Single,Medical,No
Unemployed,Secondary,446017,778,61905,Single,Car,Yes
Business Owner,Diploma,326309,336,163539,Divorced,Medical,No
Self-Employed,Degree,386345,673,132938,Divorced,House,Yes
Employed,Diploma,280602,376,32366,Married,House,Yes
Employed,Diploma,483444,696,33254,Married,House,Yes
Business Owner,Diploma,310129,644,134094,Single,Business,No
Self-Employed,Secondary,41871,414,77437,Married,Business,Yes
Employed,Degree,239715,730,78847,Single,Medical,Yes
Unemployed,Diploma,103171,482,83762,Single,School,Yes
Unemployed,Degree,494422,682,195214,Divorced,Medical,Yes
Employed,Secondary,297707,648,146791,Single,Medical,Yes
Unemployed,Secondary,297685,566,78139,Divorced,Car,Yes
Employed,Degree,54396,430,188302,Divorced,Business,No
Self-Employed,Diploma,221138,571,13479,Single,School,Yes
Business Owner,Masters,76797,480,17886,Single,Car,No
Self-Employed,Degree,210174,449,22173,Married,House,Yes
Self-Employed,Secondary,154508,752,36028,Single,Business,Yes
Unemployed,Secondary,240993,779,175770,Divorced,Business,No
Unemployed,Masters,142765,773,48572,Married,House,Yes
Unemployed,Masters,323615,321,3117,Single,Car,No
Employed,Diploma,352718,632,2506,Married,Business,Yes
Self-Employed,Degree,476887,393,109598,Married,School,Yes
Self-Employed,Degree,92689,702,171488,Divorced,Medical,Yes
Employed,Diploma,292488,335,10482,Single,Medical,No
Business Owner,Secondary,220606,351,94022,Married,Business,Yes
Unemployed,Diploma,426037,419,68022,Single,School,No
Business Owner,Degree,244176,486,35255,Single,Business,Yes
Employed,Secondary,327970,702,193098,Single,Car,Yes
Self-Employed,Masters,107121,454,47139,Divorced,Business,No
Unemployed,Diploma,176459,412,171826,Single,Medical,No
Employed,Secondary,398552,338,149595,Divorced,Car,No
Business Owner,Secondary,228999,492,2574,Single,School,Yes
Business Owner,Diploma,179245,532,156082,Married,Medical,No
Business Owner,Secondary,386128,372,193671,Single,Medical,No
Employed,Secondary,241875,338,32824,Married,House,Yes
Business Owner,Secondary,213363,699,70932,Divorced,Medical,Yes
Employed,Degree,346501,481,52162,Divorced,Business,Yes
Business Owner,Degree,230120,374,112042,Divorced,Business,Yes
Self-Employed,Degree,372501,367,117533,Single,School,Yes
Unemployed,Diploma,372504,607,16917,Divorced,Medical,Yes
Employed,Secondary,364470,315,79225,Single,House,No
Employed,Degree,220683,524,151454,Single,Business,Yes
Self-Employed,Secondary,175828,444,157107,Married,Car,No
Business Owner,Secondary,255982,842,158026,Married,House,No
Employed,Diploma,348937,645,68863,Divorced,School,Yes
Self-Employed,Diploma,384342,736,13499,Married,Car,Yes
Business Owner,Diploma,251622,774,70968,Married,School,Yes
Business Owner,Diploma,493910,809,24023,Married,Business,Yes
Unemployed,Degree,221023,539,97015,Married,Business,Yes
Self-Employed,Diploma,451249,721,99662,Single,Business,Yes
Unemployed,Secondary,114197,427,124739,Divorced,School,No
Business Owner,Masters,406385,385,115831,Single,Business,No
Unemployed,Secondary,491888,509,118338,Single,School,Yes
Business Owner,Masters,239993,522,149839,Single,Medical,No
Unemployed,Masters,308113,437,152333,Married,School,No
Business Owner,Degree,173652,474,107218,Divorced,School,Yes
Self-Employed,Diploma,369709,820,157914,Divorced,Medical,No
Employed,Diploma,40568,632,190948,Married,Business,Yes
Self-Employed,Diploma,66297,647,137951,Single,Business,No
Business Owner,Diploma,482919,332,119225,Divorced,Business,No
Self-Employed,Secondary,79078,748,3849,Married,House,Yes
Unemployed,Secondary,142910,583,194049,Divorced,House,No
Employed,Secondary,339214,831,6050,Married,School,Yes
Business Owner,Secondary,377862,584,87289,Divorced,School,Yes
Employed,Masters,76509,536,53120,Divorced,School,Yes
Self-Employed,Degree,198586,724,89134,Divorced,Car,Yes
Unemployed,Diploma,321101,772,100335,Single,House,Yes
Business Owner,Degree,389309,780,1799,Married,Business,Yes
Business Owner,Masters,81304,347,4964,Divorced,Business,No
Business Owner,Masters,392854,691,60314,Divorced,Business,Yes
Unemployed,Degree,68228,395,195555,Single,Business,No
Business Owner,Diploma,145206,466,161746,Single,Business,No
Unemployed,Diploma,193291,684,13724,Divorced,Medical,Yes
Business Owner,Secondary,360724,443,66017,Single,Car,No
Self-Employed,Degree,286782,415,109992,Married,Car,Yes
Unemployed,Degree,130246,766,100698,Single,Medical,Yes
Unemployed,Secondary,326526,538,65306,Single,Business,Yes
Unemployed,Masters,361016,709,3451,Divorced,School,Yes
Employed,Degree,362649,687,75723,Divorced,Business,Yes
Employed,Diploma,36708,418,194371,Married,Car,No
Unemployed,Masters,387482,565,157813,Married,Medical,No
Self-Employed,Degree,36053,827,113874,Divorced,House,No
Self-Employed,Diploma,270461,816,19482,Single,Medical,Yes
Unemployed,Secondary,213973,819,94370,Divorced,Car,Yes
Unemployed,Degree,254446,547,61023,Single,Business,Yes
Self-Employed,Masters,344957,395,18853,Married,Business,Yes
Unemployed,Masters,217706,308,59110,Married,Car,Yes
Employed,Masters,411598,652,72264,Married,Car,Yes
Employed,Masters,330738,308,19055,Single,School,No
Employed,Masters,459979,348,165283,Married,School,No
Unemployed,Degree,274814,518,13013,Married,Medical,Yes
Self-Employed,Masters,67512,499,76842,Divorced,Business,No
Unemployed,Diploma,322270,367,87652,Married,Medical,Yes
Employed,Diploma,427661,623,167277,Divorced,Medical,Yes
Employed,Masters,143399,301,92338,Single,House,No
Business Owner,Secondary,413372,340,86675,Married,Car,Yes
Business Owner,Diploma,457431,747,81828,Single,House,Yes
Business Owner,Degree,271694,485,124079,Single,Business,Yes
Unemployed,Diploma,137909,836,171620,Single,School,No
Self-Employed,Diploma,493848,324,94630,Divorced,Car,No
Business Owner,Masters,76265,682,24780,Single,Medical,No
Unemployed,Degree,148740,483,146243,Single,Car,Yes
Self-Employed,Masters,134576,848,34125,Single,Medical,Yes
Employed,Masters,496005,315,145636,Divorced,Medical,No
Business Owner,Secondary,387674,542,175507,Single,Medical,No
Employed,Degree,271243,557,199811,Divorced,Business,Yes
Unemployed,Masters,52935,674,31089,Single,School,No
Self-Employed,Degree,417402,744,82995,Divorced,Medical,Yes
Self-Employed,Diploma,475197,556,63006,Divorced,Car,Yes
Self-Employed,Degree,336039,456,170320,Single,House,Yes
Self-Employed,Secondary,490016,312,177241,Single,School,No
Unemployed,Secondary,483442,623,36762,Married,Medical,Yes
Self-Employed,Diploma,470359,346,60285,Divorced,School,No
Unemployed,Diploma,191983,586,102111,Single,House,Yes
Unemployed,Degree,460242,829,31657,Single,School,Yes
Self-Employed,Secondary,481757,708,101240,Single,School,Yes
Unemployed,Degree,196709,407,108711,Single,Business,Yes
Self-Employed,Secondary,80353,353,100058,Married,Car,No
Self-Employed,Secondary,308783,651,19160,Single,School,Yes
Business Owner,Masters,456506,315,32687,Married,Business,Yes
Business Owner,Secondary,400676,319,175874,Married,School,No
Self-Employed,Diploma,407052,317,54218,Married,Business,Yes
Employed,Masters,40257,477,21044,Divorced,School,Yes
Employed,Masters,98964,782,75416,Divorced,School,Yes
Employed,Degree,482285,459,54590,Divorced,Car,Yes
Self-Employed,Degree,163762,471,24514,Divorced,Business,Yes
Business Owner,Secondary,136559,333,193938,Married,School,No
Employed,Masters,239809,567,86335,Married,Business,Yes
Unemployed,Masters,307880,391,195618,Divorced,School,No
Self-Employed,Diploma,297743,393,127915,Married,Car,No
Self-Employed,Diploma,49666,411,7364,Divorced,Medical,No
Business Owner,Masters,462829,758,59760,Married,Car,Yes
Self-Employed,Secondary,375259,392,187935,Divorced,Business,No
Employed,Masters,268347,832,168754,Single,School,Yes
Business Owner,Degree,476012,688,35836,Single,House,Yes
Business Owner,Masters,440893,685,55305,Married,Car,Yes
Unemployed,Diploma,156669,686,92890,Divorced,House,Yes
Business Owner,Masters,320847,685,94091,Single,Medical,Yes
Business Owner,Secondary,423550,554,102121,Married,School,Yes
Employed,Degree,252755,819,146650,Married,Car,Yes
Self-Employed,Degree,384915,531,131581,Divorced,House,Yes
Self-Employed,Degree,278004,589,52914,Married,Car,Yes
Business Owner,Secondary,362783,540,119472,Divorced,Car,Yes
Employed,Secondary,317901,442,106755,Married,School,No
Employed,Secondary,170842,666,181400,Divorced,House,Yes
Business Owner,Secondary,435464,705,745,Single,School,Yes
Self-Employed,Diploma,491460,355,36451,Married,Medical,Yes
Self-Employed,Diploma,310704,513,190822,Married,School,No
Self-Employed,Degree,442110,773,54896,Divorced,Business,Yes
Business Owner,Degree,85516,553,99649,Divorced,Car,Yes
Business Owner,Diploma,73567,772,118791,Divorced,Medical,No
Business Owner,Degree,362838,314,144479,Single,Business,Yes
Employed,Masters,77118,848,94840,Single,School,Yes
Employed,Masters,105997,442,63496,Single,Business,No
Unemployed,Secondary,390622,671,140592,Single,Business,No
Self-Employed,Degree,141666,311,16188,Married,Business,Yes
Self-Employed,Diploma,380990,696,31861,Single,School,Yes
Self-Employed,Degree,241775,802,110194,Divorced,Medical,Yes
Self-Employed,Degree,460038,345,120710,Single,Business,Yes
Self-Employed,Diploma,224329,412,47986,Single,Car,No
Employed,Masters,437090,592,51487,Married,School,Yes
Employed,Secondary,64940,505,98446,Single,Business,Yes
Unemployed,Masters,137342,789,7746,Divorced,School,Yes
Unemployed,Diploma,382783,521,171475,Divorced,Medical,No
Employed,Secondary,216158,401,83792,Single,School,No
Self-Employed,Diploma,447328,689,87856,Divorced,Business,Yes
Employed,Degree,214675,667,142370,Divorced,Medical,Yes
Business Owner,Degree,137366,839,68234,Married,Business,Yes
Self-Employed,Degree,196827,498,4487,Married,Car,Yes
Self-Employed,Degree,329117,532,101383,Divorced,Business,Yes
Employed,Diploma,354017,840,17059,Divorced,Medical,Yes
Business Owner,Degree,354574,641,144654,Divorced,Car,Yes
Employed,Secondary,114520,846,92989,Married,House,Yes
Business Owner,Secondary,52516,536,162412,Single,Car,No
Business Owner,Diploma,195146,512,147207,Married,School,No
Self-Employed,Masters,409849,647,105342,Married,Business,Yes
Self-Employed,Degree,182658,783,193496,Divorced,Medical,Yes
Self-Employed,Degree,151129,440,28281,Divorced,Medical,Yes
Employed,Secondary,236332,638,8713,Married,Business,Yes
Business Owner,Secondary,479703,689,162020,Divorced,School,No
Unemployed,Masters,131435,689,148684,Divorced,School,No
Business Owner,Secondary,48644,704,72287,Single,Car,No
Employed,Secondary,135156,640,53429,Single,Car,Yes
Unemployed,Masters,128406,499,101354,Divorced,Business,Yes
Self-Employed,Diploma,91083,415,194898,Divorced,House,No
Self-Employed,Diploma,243474,650,95603,Married,House,Yes
Self-Employed,Degree,215034,509,115969,Married,Medical,Yes
Business Owner,Masters,178191,812,94713,Single,Car,Yes
Employed,Secondary,399402,322,628,Single,Business,No
Self-Employed,Secondary,301768,361,47780,Single,Medical,No
Employed,Masters,328095,454,86079,Married,House,Yes
Business Owner,Secondary,480456,418,153174,Single,Medical,No
Business Owner,Masters,39228,840,116301,Divorced,Business,No
Self-Employed,Diploma,499737,379,107281,Single,School,No
Self-Employed,Masters,382024,456,53086,Married,School,Yes
Self-Employed,Masters,492299,424,140611,Married,Medical,No
Unemployed,Secondary,351187,593,199269,Single,Medical,No
Self-Employed,Secondary,368816,684,178732,Divorced,Business,No
Employed,Diploma,76673,598,182766,Divorced,School,Yes
Unemployed,Diploma,384708,840,61644,Married,Car,Yes
Self-Employed,Diploma,132360,462,81708,Married,Car,Yes
Employed,Masters,490319,585,198402,Married,Car,Yes
Self-Employed,Secondary,129288,367,171633,Divorced,School,No
Self-Employed,Diploma,264950,335,117195,Divorced,Car,No
Unemployed,Degree,387596,677,60855,Divorced,House,Yes
Employed,Degree,275901,746,164304,Married,House,Yes
Business Owner,Secondary,379592,617,66458,Single,House,Yes
Business Owner,Masters,177470,594,51354,Divorced,Business,Yes
Employed,Masters,305495,697,96102,Married,House,Yes
Unemployed,Masters,126684,329,66678,Single,Business,No
Unemployed,Masters,179260,694,189330,Married,Car,No
Employed,Degree,42055,559,151507,Divorced,House,Yes
Employed,Secondary,343344,802,134843,Divorced,Car,Yes
Unemployed,Degree,75378,722,70964,Married,Medical,Yes
Self-Employed,Masters,428926,802,114496,Single,House,Yes
Self-Employed,Masters,382643,764,10187,Single,House,Yes
Self-Employed,Degree,285515,531,191856,Married,House,Yes
Unemployed,Degree,351916,461,169833,Married,Car,Yes
Unemployed,Degree,51696,324,67265,Single,Medical,No
Employed,Degree,461516,418,65488,Married,Car,Yes
Employed,Diploma,398237,735,95879,Single,Car,Yes
Self-Employed,Degree,179308,588,61421,Divorced,House,Yes
Employed,Degree,306676,426,31230,Single,School,Yes
Self-Employed,Degree,105086,804,47398,Single,House,Yes
Business Owner,Degree,38081,583,169235,Married,Medical,No
Unemployed,Secondary,193956,727,9039,Divorced,School,Yes
Employed,Secondary,357834,589,129290,Divorced,Medical,Yes
Unemployed,Secondary,348837,787,153235,Single,Medical,No
Self-Employed,Masters,243971,641,38699,Divorced,Car,Yes
Business Owner,Degree,106737,672,143718,Divorced,House,Yes
Business Owner,Diploma,419178,561,75833,Single,Car,Yes
Employed,Diploma,259694,830,155236,Divorced,School,Yes
Employed,Masters,38169,630,63719,Divorced,Business,Yes
Employed,Masters,136043,598,178659,Single,Medical,Yes
Business Owner,Degree,140577,723,158659,Divorced,Car,Yes
Unemployed,Degree,324622,373,6915,Single,Car,Yes
Employed,Degree,271462,813,160584,Divorced,House,Yes
Self-Employed,Masters,193142,449,165550,Married,School,No
Self-Employed,Secondary,60145,743,109799,Single,School,No
Self-Employed,Masters,126436,377,2234,Divorced,Medical,No
Employed,Masters,495099,602,156469,Married,School,Yes
Employed,Diploma,142720,457,1786,Single,Car,Yes
Business Owner,Secondary,186469,670,162017,Divorced,School,No
Employed,Secondary,280262,722,74279,Divorced,House,Yes
Employed,Diploma,374445,600,111638,Divorced,School,Yes
Self-Employed,Diploma,386066,798,43127,Married,School,Yes
Unemployed,Masters,153608,651,113526,Married,House,Yes
Business Owner,Secondary,247211,331,191666,Divorced,Medical,No
Business Owner,Degree,451037,822,155485,Divorced,Car,Yes
Business Owner,Degree,333081,598,71853,Single,House,Yes
Employed,Degree,225750,417,52986,Married,House,Yes
Business Owner,Diploma,243784,695,63924,Married,Medical,Yes
Employed,Diploma,440183,745,149389,Divorced,Medical,Yes
Unemployed,Masters,37451,726,41679,Single,Medical,No
Business Owner,Masters,263508,366,82416,Divorced,House,No
Unemployed,Diploma,317360,779,159646,Divorced,Car,No
Business Owner,Degree,354198,372,105978,Married,Car,Yes
Self-Employed,Masters,426682,726,178787,Divorced,Medical,No
Employed,Secondary,319030,587,191048,Married,House,Yes
Unemployed,Diploma,168813,669,33236,Single,Medical,Yes
Employed,Secondary,178448,467,183735,Divorced,Car,Yes
Self-Employed,Diploma,105258,578,199189,Divorced,Medical,No
Business Owner,Masters,257794,385,125079,Married,School,No
Self-Employed,Masters,53167,416,182124,Single,Car,No
Self-Employed,Diploma,357681,810,81901,Divorced,Medical,Yes
Employed,Diploma,63241,322,177830,Divorced,Business,No
Business Owner,Masters,74892,462,126110,Married,Medical,No
Employed,Secondary,312015,688,56939,Single,School,Yes
Unemployed,Diploma,441618,563,130985,Single,House,No
Self-Employed,Diploma,215623,526,96995,Divorced,School,Yes
Unemployed,Secondary,440435,405,29377,Divorced,House,No
Business Owner,Masters,275375,461,80078,Married,Business,Yes
Unemployed,Degree,266546,471,183431,Single,Medical,Yes
Self-Employed,Masters,50869,328,179481,Single,Medical,No
Self-Employed,Masters,345188,620,96593,Single,School,Yes
Self-Employed,Secondary,98533,544,86446,Married,Car,Yes
Unemployed,Degree,182858,357,57754,Single,Medical,Yes
Business Owner,Degree,124774,424,83741,Single,School,Yes
Unemployed,Diploma,97488,848,76786,Married,House,Yes
Employed,Masters,44374,386,63846,Divorced,Medical,No
Self-Employed,Diploma,34298,848,41943,Divorced,Business,No
Employed,Diploma,311329,550,124266,Single,Medical,Yes
Unemployed,Degree,170175,410,122249,Single,House,Yes
Self-Employed,Diploma,347110,666,124392,Single,Medical,No
Business Owner,Degree,160359,640,93253,Single,House,Yes
Employed,Secondary,470153,669,119213,Single,School,Yes
Business Owner,Diploma,278342,811,76473,Single,Medical,Yes
Employed,Degree,136456,368,177092,Single,Car,Yes
Business Owner,Diploma,83056,772,151042,Married,House,No
Unemployed,Diploma,315607,765,46903,Divorced,Car,Yes
Business Owner,Diploma,320240,469,81644,Single,School,No
Self-Employed,Masters,117860,665,136455,Divorced,School,No
Unemployed,Masters,427832,311,68271,Divorced,Business,No
Employed,Masters,459422,327,99133,Married,Car,Yes
Business Owner,Masters,33358,334,60095,Single,House,No
Business Owner,Degree,96622,625,60081,Married,Medical,Yes
Business Owner,Masters,368796,809,46953,Single,School,Yes
Self-Employed,Masters,320846,736,188093,Single,Business,No
Business Owner,Diploma,139782,466,100981,Single,Medical,No
Business Owner,Masters,307571,357,110767,Married,Business,No
Unemployed,Degree,428263,332,93278,Divorced,School,Yes
Self-Employed,Degree,210831,660,136949,Married,Car,Yes
Business Owner,Masters,467235,581,33829,Married,School,Yes
Self-Employed,Masters,114608,497,97382,Single,School,Yes
Unemployed,Secondary,311294,721,125551,Divorced,Medical,No
Employed,Secondary,433356,614,39886,Single,School,Yes
Self-Employed,Secondary,57008,834,141034,Divorced,Medical,No
Employed,Degree,339234,540,83556,Married,Business,Yes
Unemployed,Diploma,487975,560,140559,Married,Medical,No
Self-Employed,Masters,368620,355,147876,Single,House,No
Business Owner,Diploma,147561,374,186271,Single,School,No
Unemployed,Diploma,392742,625,116446,Married,Medical,Yes
Self-Employed,Masters,225505,464,164957,Divorced,Car,No
Business Owner,Degree,325500,738,121417,Single,Medical,Yes
Business Owner,Masters,230300,806,78051,Married,Car,Yes
Self-Employed,Masters,499258,420,96236,Married,Business,Yes
Unemployed,Diploma,292671,407,41928,Single,Medical,No
Employed,Degree,248134,700,3048,Divorced,House,Yes
Employed,Masters,57311,796,69472,Divorced,School,Yes
Unemployed,Diploma,156524,457,125929,Divorced,School,No
Unemployed,Diploma,107135,342,75845,Married,Business,Yes
Self-Employed,Secondary,285681,828,89045,Divorced,Car,Yes
Unemployed,Degree,74191,799,177850,Single,Business,Yes
Business Owner,Degree,96999,364,96821,Divorced,Car,Yes
Business Owner,Secondary,56485,629,96224,Married,Medical,Yes
Employed,Diploma,449323,850,101070,Divorced,House,Yes
Self-Employed,Degree,149635,381,67086,Divorced,School,Yes
Self-Employed,Degree,244453,399,93388,Married,Car,Yes
Self-Employed,Secondary,375862,682,194711,Married,School,No
Employed,Degree,331203,420,50239,Single,Car,Yes
Business Owner,Diploma,418591,396,76583,Married,Medical,Yes
Unemployed,Degree,219140,388,15410,Divorced,Car,Yes
Unemployed,Degree,104316,822,41692,Married,School,Yes
Self-Employed,Secondary,424699,590,92726,Single,Business,Yes
Employed,Secondary,323033,678,100499,Divorced,Business,Yes
Business Owner,Masters,405415,672,63738,Married,House,Yes
Self-Employed,Masters,432041,411,188788,Divorced,Medical,No
Unemployed,Diploma,413802,541,4313,Married,House,Yes
Business Owner,Masters,361960,496,28120,Married,House,Yes
Business Owner,Degree,107906,409,198602,Single,School,Yes
Self-Employed,Masters,353902,398,15517,Single,Medical,No
Self-Employed,Diploma,134563,315,62568,Married,Medical,Yes
Unemployed,Degree,308774,313,13867,Divorced,House,Yes
Self-Employed,Diploma,297156,483,169898,Single,House,No
Business Owner,Diploma,180007,458,69669,Married,House,Yes
Unemployed,Degree,299807,731,21575,Divorced,School,Yes
Business Owner,Degree,222363,412,67865,Married,House,Yes
Unemployed,Diploma,51306,689,82005,Married,School,Yes
Unemployed,Secondary,348733,557,159992,Single,Car,No
Self-Employed,Masters,334835,526,170037,Single,School,No
Self-Employed,Masters,424104,800,49064,Married,Car,Yes
Business Owner,Diploma,263484,308,48056,Divorced,Business,No
Employed,Diploma,291704,481,170959,Married,Medical,Yes
Business Owner,Diploma,312653,302,13492,Married,House,Yes
Self-Employed,Secondary,451860,574,187894,Divorced,Medical,No
Employed,Degree,474014,463,48858,Single,Medical,Yes
Self-Employed,Degree,270286,809,65995,Married,House,Yes
Employed,Masters,218726,723,99914,Single,House,Yes
Self-Employed,Degree,452239,817,34061,Married,School,Yes
Employed,Secondary,73804,825,71529,Single,School,Yes
Unemployed,Masters,496294,421,154552,Divorced,Medical,No
Business Owner,Masters,138146,434,55082,Single,Medical,No
Employed,Degree,169612,344,106390,Single,School,Yes
Employed,Diploma,213532,797,161090,Married,Medical,Yes
Unemployed,Masters,110091,499,152030,Divorced,House,No
Business Owner,Degree,495607,417,173655,Married,Medical,Yes
Unemployed,Diploma,459590,749,134468,Married,House,No
Business Owner,Masters,210913,307,15331,Divorced,Business,No
Self-Employed,Degree,322818,450,117192,Single,Car,Yes
Unemployed,Degree,495507,546,802,Married,Business,Yes
Employed,Masters,229630,482,46299,Divorced,Medical,Yes
Unemployed,Masters,250721,557,142496,Married,Medical,No
Employed,Secondary,244953,531,53681,Married,House,Yes
Employed,Secondary,426064,623,103898,Divorced,Car,Yes
Business Owner,Diploma,430812,485,58821,Divorced,Medical,Yes
Unemployed,Masters,179424,693,15296,Single,Car,Yes
Self-Employed,Degree,355090,383,23386,Married,Car,Yes
Employed,Secondary,249117,491,1739,Married,Car,Yes
Business Owner,Diploma,377338,692,66358,Married,House,Yes
Self-Employed,Degree,445369,600,56516,Divorced,House,Yes
Unemployed,Masters,282182,825,125413,Single,School,No
Unemployed,Degree,231979,336,179941,Single,Car,Yes
Employed,Secondary,161653,654,27489,Married,House,Yes
Business Owner,Masters,116954,820,48038,Married,Car,Yes
Business Owner,Degree,198581,742,4402,Single,Medical,Yes
Self-Employed,Secondary,370162,334,126785,Single,School,No
Business Owner,Diploma,207904,376,172771,Divorced,House,No
Business Owner,Degree,309455,389,160564,Married,Car,Yes
Self-Employed,Secondary,364700,322,172635,Single,House,No
Employed,Degree,359565,750,194285,Divorced,School,Yes
Employed,Degree,139873,458,1496,Single,House,Yes
Unemployed,Masters,493811,353,141948,Divorced,Business,No
Employed,Secondary,131784,520,166474,Divorced,Medical,Yes
Unemployed,Degree,459515,386,155248,Married,Car,Yes
Unemployed,Diploma,256735,613,96248,Divorced,House,Yes
Unemployed,Diploma,139073,458,12614,Divorced,Medical,No
Self-Employed,Secondary,398433,741,84354,Single,Car,Yes
Business Owner,Secondary,429260,798,18298,Married,House,Yes
Business Owner,Diploma,45984,777,180336,Divorced,Business,No
Unemployed,Secondary,35853,490,167444,Married,Car,No
Self-Employed,Masters,390694,456,18901,Single,Medical,No
Employed,Secondary,270154,382,193568,Divorced,Car,No
Employed,Masters,329964,560,143359,Married,Car,Yes
Self-Employed,Masters,135089,643,198105,Single,Car,No
Unemployed,Diploma,188062,450,90482,Married,Car,Yes
Unemployed,Secondary,325349,814,133992,Divorced,Business,No
Self-Employed,Diploma,386991,485,40828,Single,Business,Yes
Self-Employed,Diploma,324337,628,32720,Single,Car,Yes
Unemployed,Masters,323208,301,162108,Single,Medical,No
Self-Employed,Degree,93413,640,92916,Married,Medical,Yes
Employed,Masters,420819,727,29822,Divorced,School,Yes
Business Owner,Degree,67368,635,69882,Divorced,House,No
Unemployed,Degree,324557,362,186451,Divorced,Medical,Yes
